WELLID,UNION,VILLAGE,LATITUDE ,LONGITUDE,DEPTH-FT,YEAR,KIT-COLOR,ARSENIC
2693,Brahmandi,Digaldi,,90.62759,45,1996,Red,140
2694,Brahmandi,Digaldi,,90.6274,75,1975,Red,129
2695,Brahmandi,Digaldi,,90.62718,45,1998,Red,73
2696,Brahmandi,Digaldi,,90.62703,45,1987,Green,1
2697,Brahmandi,Digaldi,,90.62689,45,1994,Green,48
2808,Brahmandi,Bara Binairchar,,90.62264,45,1998,Red,55
2809,Brahmandi,Bara Binairchar,,90.62327,110,1993,Green,98
2811,Brahmandi,Bara Binairchar,,90.62334,72,1997,Red,43
2812,Brahmandi,Bara Binairchar,,90.62359,52,1997,Green,20
2857,Brahmandi,Langardi,,90.61638,25,1998,Green,28
2859,Brahmandi,Langardi,,90.61595,25,2000,Red,75
2865,Brahmandi,Langardi,,90.61576,45,1998,Red,59
2866,Brahmandi,Langardi,,90.61615,70,1999,Green,34
2873,Brahmandi,Langardi,,90.61548,80,1987,Green,77
2894,Brahmandi,Kumerbak,,90.61598,45,1992,Green,21
2905,Brahmandi,Kumerbak,,90.61524,45,1995,Green,3
2906,Brahmandi,Kumerbak,,90.61528,45,1996,Green,38
2908,Brahmandi,Kumerbak,,90.6155,55,1998,Green,125
2910,Brahmandi,Kumerbak,,90.61637,60,1997,Red,125
2928,Duptara,Bajbi,,90.60573,120,2000,Green,1
2929,Duptara,Bajbi,,90.60565,120,1998,Green,1
2930,Duptara,Bajbi,,90.60572,140,1994,Green,1
2931,Duptara,Bajbi,,90.60582,125,1995,Green,1
2935,Duptara,Bajbi,,90.60611,120,1995,Green,1
2988,Duptara,Kathalipara,,90.60675,155,1984,Green,1
2991,Duptara,Kathalipara,,90.60683,140,1990,Green,1
2993,Duptara,Kathalipara,,90.60644,175,1998,Green,1
3003,Duptara,Kathalipara,,90.60703,140,1997,Green,1
3004,Duptara,Kathalipara,,90.60709,140,1998,Green,1
3105,Duptara,Girda,,90.60625,115,1999,Green,1
3106,Duptara,Girda,,90.60584,105,1998,Green,2
3107,Duptara,Girda,,90.60595,105,2001,Green,1
3108,Duptara,Girda,,90.60594,105,1999,Green,1
3109,Duptara,Girda,,90.60608,105,1998,Green,1
3143,Duptara,Girda,,90.60825,80,1985,Red,110
3223,Duptara,Bhuyanpara,,90.61049,30,1994,Green,1
3239,Duptara,Bhuyanpara,,90.6099,30,1990,Green,1
3267,Duptara,Bhuyanpara,,90.60984,25,1995,Green,1
3276,Duptara,Bhuyanpara,,90.61062,25,1990,Green,1
3289,Duptara,Satyabhadi,,90.61135,30,1990,Green,1
3291,Duptara,Satyabhadi,,90.61143,30,1998,Green,1
3292,Duptara,Satyabhadi,,90.61157,35,1991,Green,1
3293,Duptara,Satyabhadi,,90.61147,30,1993,Green,3
3294,Duptara,Satyabhadi,,90.61141,30,1989,Green,1
3381,Duptara,Mollapara,,90.61497,35,1996,Green,7
3386,Duptara,Hatkholapara,,90.61564,25,1996,Green,50
3387,Duptara,Hatkholapara,,90.61569,25,1991,Green,37
3403,Duptara,Hatkholapara,,90.61438,170,1998,Green,3
3405,Duptara,Hatkholapara,,90.61446,35,1992,Green,7
3406,Duptara,Hatkholapara,,90.6149,148,1997,Green,1
3407,Duptara,Hatkholapara,,90.61499,145,1993,Green,9
3409,Duptara,Hatkholapara,,90.61486,192,1994,Green,9
3482,Brahmandi,Bara Manohardi,,90.61176,45,1993,Red,416
3510,Brahmandi,Chota Monohardi,,90.60065,195,1986,Green,32
3511,Brahmandi,Chota Monohardi,,90.60051,145,1996,Green,1
3520,Brahmandi,Chota Monohardi,,90.6,130,1995,Green,1
3542,Brahmandi,Bhati Gobindi,,90.59903,165,1998,Green,1
3543,Brahmandi,Bhati Gobindi,,90.5989,60,1996,Red,295
3544,Brahmandi,Bhati Gobindi,,90.59872,120,1997,Green,1
3545,Brahmandi,Bhati Gobindi,,90.59884,130,1999,Green,1
3546,Brahmandi,Bhati Gobindi,,90.59882,60,1991,Red,306
3602,Brahmandi,Baliapara,,90.59385,70,1992,Red,161
3608,Brahmandi,Baliapara,,90.59293,,1998,Red,479
3641,Brahmandi,Baliapara,,90.59169,45,1993,Red,241
3688,Brahmandi,Baliapara,,90.59083,65,1978,Red,151
3710,Brahmandi,Baliapara,,90.58796,225,1998,Green,32
3712,Brahmandi,Baliapara,,90.58861,35,1995,Red,90
3733,Brahmandi,Kadamdi,,90.59453,65,1992,Red,90
3737,Brahmandi,Kadamdi,,90.59483,55,1997,Red,77
3743,Brahmandi,Kadamdi,,90.59467,60,1993,Red,92
3795,Brahmandi,Utrapur,,90.60092,120,1990,Red,74
3798,Brahmandi,Utrapur,,90.60125,45,1995,Red,74
3799,Brahmandi,Utrapur,,90.60128,65,1990,Red,82
3801,Brahmandi,Utrapur,,90.60165,72,1993,Red,268
3879,Araihazar,Choto BinairChar,,90.63648,45,1995,Red,282
3880,Araihazar,Choto BinairChar,,90.63624,60,1995,Red,247
3881,Araihazar,Choto BinairChar,,90.63634,50,1999,Red,111
3882,Araihazar,Choto BinairChar,,90.63661,45,1970,Red,261
3887,Araihazar,Choto BinairChar,,90.63656,60,1995,Red,447
3910,Duptara,Tingaon,,90.6007,130,1992,Green,1
3911,Duptara,Tingaon,,90.60082,130,1993,Green,1
3928,Duptara,Panchgaon (DewanPara),,90.63065,180,2000,Green,9
3932,Duptara,Panchgaon (Karmaker para),,90.63094,160,1998,Green,2
3939,Duptara,Panchgaon (Karmaker para),,90.63134,45,2000,Green,6
3941,Duptara,Panchgaon (Karmaker para),,90.63223,45,1997,Green,8
3943,Duptara,Panchgaon (Karmaker para),,90.63262,50,1997,Green,9
4043,Duptara,Dari Satyabhandi,,90.60147,135,1997,Green,1
4046,Duptara,Dari Satyabhandi,,90.60157,135,1995,Green,1
4051,Duptara,Dari Satyabhandi,,90.60134,120,1997,Green,1
4052,Duptara,Dari Satyabhandi,,90.60165,135,1986,Green,1
4180,Duptara,Noyapara,,90.60776,150,1997,Green,1
4182,Duptara,Noyapara,,90.60787,125,1999,Green,1
4188,Duptara,Noyapara,,90.60814,45,1996,Green,40
4190,Duptara,Noyapara,,90.60843,160,1998,Green,4
4346,Brahmandi,Rishir Char,,90.60395,145,1970,Green,15
4347,Brahmandi,Rishir Char,,90.60394,135,1998,Green,15
4348,Brahmandi,Rishir Char,,90.60365,130,2000,Green,17
4352,Brahmandi,Rishir Char,,90.6031,175,1998,Green,15
4353,Brahmandi,Rishir Char,,90.60311,75,1987,Red,498
4384,Brahmandi,Baliapara,,90.59332,60,1992,Red,105
4395,Brahmandi,Baliapara,,90.59271,60,1998,Red,294
4418,Brahmandi,Baliapara,,90.58699,120,1998,Red,54
4430,Brahmandi,Baliapara,,90.58696,125,1993,Red,71
4449,Brahmandi,Baliapara,,90.58548,45,1999,Red,283
4566,Brahmandi,Bhati Baliapara,,90.59243,45,1995,Red,142
4571,Brahmandi,Bhati Baliapara,,90.59249,45,1999,Red,174
4574,Brahmandi,Bhati Baliapara,,90.59252,45,1996,Red,301
4619,Brahmandi,Choto Binarchar,,90.63165,45,,Red,226
4685,Brahmandi,Bara Binairchar,,90.62288,50,1986,Green,1
4877,Brahmandi,Chota Fausa,,90.62943,80,1970,Red,163
4880,Brahmandi,Maruadi,,90.62932,25,1999,Red,131
4950,Duptara,Kumarpara,,90.61052,195,1999,Green,1
4960,Brahmandi,Maruadi,,90.63099,70,1993,Green,50
4961,Brahmandi,Maruadi,,90.63118,70,1995,Green,49
7082,Araihazar,Jhaugara,,90.64591,45,1993,Green,34
7085,Araihazar,Jhaugara,,90.64615,90,1999,Green,86
7086,Araihazar,Jhaugara,,90.64623,50,1980,Red,38
7090,Araihazar,Jhaugara,,90.64663,60,1997,Red,68
7195,Araihazar,Kamrangir Char,,90.64681,45,1996,Red,212
7356,Araihazar,Mukandi,,90.65165,40,2000,Green,52
7389,Araihazar,Mukandi Gazipura,,90.64891,50,1999,Green,60
7390,Araihazar,Mukandi Gazipura,,90.64866,30,1981,Green,42
7463,Araihazar,Chota Bara Para,,90.65995,35,1994,Green,78
7464,Araihazar,Araihazar,,90.66113,70,1993,Red,140
7466,Araihazar,Araihazar,,90.66117,40,1998,Green,12
7467,Araihazar,Araihazar,,90.66143,40,1990,Red,134
7469,Araihazar,Araihazar,,90.66,85,1999,Red,178
7475,Araihazar,Araihazar,,90.66129,45,1999,Red,116
7476,Araihazar,Chota Bara Para,,90.66059,40,1982,Green,96
7477,Araihazar,Chota Bara Para,,90.66068,40,1990,Green,127
7508,Araihazar,Chota Bara Para,,90.65746,55,1999,Red,113
7522,Araihazar,Chota Bara Para,,90.65882,60,1990,Red,173
7535,Araihazar,Mirka Baganagar,,90.65982,35,2002,Red,80
7536,Araihazar,Mirka Baganagar,,90.65949,40,1998,Red,90
7540,Araihazar,Mirka Baganagar,,90.66116,45,1985,Green,51
7548,Araihazar,Mirka Baganagar,,90.66169,45,1998,Red,69
7645,Araihazar,Noa Para,,90.6487,75,1997,Red,49
7647,Araihazar,Noa Para,,90.64878,75,1982,Red,256
7648,Araihazar,Noa Para,,90.64889,85,2000,Red,341
7649,Araihazar,Noa Para,,90.64869,60,2000,Green,47
7651,Araihazar,Noa Para,,90.64714,60,2000,Red,46
7787,Araihazar,Mukandi Gazipura,,90.64936,50,1999,Red,155
7788,Araihazar,Mukandi Gazipura,,90.6492,50,1992,Green,54
7789,Araihazar,Mukandi Gazipura,,90.64981,50,1992,Red,89
7801,Brahmandi,Brahmandi,,90.63766,75,1990,Red,255
7838,Brahmandi,Brahmandi,,90.63555,45,1999,Green,18
7839,Brahmandi,Brahmandi,,90.63567,45,1991,Green,26
7840,Brahmandi,Brahmandi,,90.63582,35,1996,Green,38
7841,Brahmandi,Brahmandi,,90.63551,40,1996,Green,78
7846,Brahmandi,Brahmandi,,90.63537,35,1998,Green,32
7895,Brahmandi,Brahmandi,,90.63892,45,1994,Red,108
7895,Brahmandi,Maruadi,,90.63173,45,2000,Red,108
7912,Brahmandi,Noadda,,90.63497,60,2000,Red,307
7918,Brahmandi,Noadda,,90.63605,150,1999,Green,1
7921,Brahmandi,Noadda,,90.63765,90,2000,Red,105
7925,Brahmandi,Noadda,,90.63758,65,1996,Red,78
7935,Brahmandi,Noadda,,90.63498,35,1997,Red,372
7954,Brahmandi,Chota Fausa,,90.63045,170,1995,Green,2
7962,Brahmandi,Chota Fausa,,90.63264,42,1989,Red,110
7991,Araihazar,Kamrangir Char,,90.64751,46,1990,Red,126
7998,Araihazar,Kamrangir Char,,90.64707,45,1999,Red,95
8000,Araihazar,Kamrangir Char,,90.64745,45,1989,Red,120
18,Araihazar,Krishnapura,,90.65223,50,1996,Red,232
347,Brahmandi,Sulpandi,,90.61804,30,1996,Red,71
350,Brahmandi,Sulpandi,,90.61771,55,1995,Red,116
797,Araihazar,Kamrangir Char,,90.64724,60,1999,Red,100
840,Araihazar,Lakhupura,,90.63672,40,1990,Red,109
843,Araihazar,Lakhupura,,90.63666,45,1998,Green,74
1056,Brahmandi,Choto Manohardi,,90.6166,60,1997,Green,31
